Types of chemical treatment;Amazon links;Column1;Column2;Column3;Column4
Apply fungicides containing Captan or Myclobutanil.;https://www.amazon.com/Fertilome-12245-Triple-Action-16/dp/B00D8NQ26C/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Lnegdh5RU7yW6NffkV1ynpG9LTpN4LQtZQ-vB0TOlT3-Y5vMmjXMmwLLepUEJ0BkvuZaiacKVuLvCqMMpNj8dwZYyhJJYK9ZpwrXC1MeFYoZXwFeNmClRJ2nEQEjETyqZXittgeeu6P8RTLaSNQXhHVh9ERwwUccg68ZFZmyDTA.PRIt1qaKR9jaetSLEay20YmsP8UG90X4xUpjnOp-Sqo&dib_tag=se&keywords=captan&qid=1776179147&sr=8-1&th=1;https://www.amazon.com/Spectracide-16-Ounce-Multi-Purpose-Fungicide-Concentrate/dp/B008H5BEU0/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Lnegdh5RU7yW6NffkV1ynpG9LTpN4LQtZQ-vB0TOlT3-Y5vMmjXMmwLLepUEJ0BkvuZaiacKVuLvCqMMpNj8dwZYyhJJYK9ZpwrXC1MeFYoZXwFeNmClRJ2nEQEjETyqZXittgeeu6P8RTLaSNQXhHVh9ERwwUccg68ZFZmyDTA.PRIt1qaKR9jaetSLEay20YmsP8UG90X4xUpjnOp-Sqo&dib_tag=se&keywords=captan&qid=1776179147&sr=8-2&th=1;;;
Apply fungicides containing Mancozeb or Myclobutanil.;https://www.amazon.com/Daconil-Fungicide-Concentrate-16-oz/dp/B000RUGIY0/ref=sr_1_1?crid=2WACUU5A0RBU5&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfr_Bv7b3sIBra3YnPLVMITk3GjHj071QN20LucGBJIEps.mN3ChlzcNw4sdMyqUAfZN_T7cTpMIW5_a1xhRI8tOzs&dib_tag=se&keywords=fungicides%2Bcontaining%2BMancozeb%2Bor%2BMyclobutanil.&qid=1776179224&sprefix=fungicides%2Bcontaining%2Bmancozeb%2Bor%2Bmyclobutanil.%2Caps%2C326&sr=8-1&th=1;https://www.amazon.com/Gulfstream-Gardentech-Daconil-Fungicide-Concentrate/dp/B007RG8L24/ref=sr_1_2?crid=2WACUU5A0RBU5&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfr_Bv7b3sIBra3YnPLVMITk3GjHj071QN20LucGBJIEps.mN3ChlzcNw4sdMyqUAfZN_T7cTpMIW5_a1xhRI8tOzs&dib_tag=se&keywords=fungicides+containing+Mancozeb+or+Myclobutanil.&qid=1776179224&sprefix=fungicides+containing+mancozeb+or+myclobutanil.%2Caps%2C326&sr=8-2;https://www.amazon.com/Garden-Fungicide-Chlorothanonil-Danconil-Concentrate/dp/B00GRSOWJE/ref=sr_1_3?crid=2WACUU5A0RBU5&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfr_Bv7b3sIBra3YnPLVMITk3GjHj071QN20LucGBJIEps.mN3ChlzcNw4sdMyqUAfZN_T7cTpMIW5_a1xhRI8tOzs&dib_tag=se&keywords=fungicides+containing+Mancozeb+or+Myclobutanil.&qid=1776179224&sprefix=fungicides+containing+mancozeb+or+myclobutanil.%2Caps%2C326&sr=8-3;;
Apply fungicides containing Myclobutanil.;https://www.amazon.com/Mauget-Tebuject-Fungicide-Containing-Tebuconazole/dp/B00LP4BU90/ref=sr_1_1_sspa?crid=3CBZZD23YEJZZ&keywords=fungicides+containing+Myclobutanil.&qid=1776179408&sprefix=fungicides+containing+myclobutanil.%2Caps%2C242&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1#customerReviews;;;;
Apply sulfur-based fungicides or Chlorothalonil.;amazon.com/Daconil-Fungicide-Concentrate-16-oz/dp/B000RUGIY0/ref=sr_1_2?crid=2P1A4OAF1YIIW&dib=eyJ2IjoiMSJ9.Iji5cCMZuuV4RjmlwygVfMhYH-oVMOGRAiPmIrYKZYTGjHj071QN20LucGBJIEps.x_UzsygSijFYC1BXFUs4Hw0YwNj7nYNgDB0wTLlsSAI&dib_tag=se&keywords=fungicides+of+chlorothalonil&qid=1776179557&sprefix=fungicides+or+chlorothalonil%2Caps%2C219&sr=8-2;https://www.amazon.com/Gulfstream-Gardentech-Daconil-Fungicide-Concentrate/dp/B007RG8L24/ref=sr_1_3?crid=2P1A4OAF1YIIW&dib=eyJ2IjoiMSJ9.Iji5cCMZuuV4RjmlwygVfMhYH-oVMOGRAiPmIrYKZYTGjHj071QN20LucGBJIEps.x_UzsygSijFYC1BXFUs4Hw0YwNj7nYNgDB0wTLlsSAI&dib_tag=se&keywords=fungicides+of+chlorothalonil&qid=1776179557&sprefix=fungicides+or+chlorothalonil%2Caps%2C219&sr=8-3;;;
Apply fungicides containing Chlorothalonil.;amazon.com/Daconil-Fungicide-Concentrate-16-oz/dp/B000RUGIY0/ref=sr_1_2?crid=2P1A4OAF1YIIW&dib=eyJ2IjoiMSJ9.Iji5cCMZuuV4RjmlwygVfMhYH-oVMOGRAiPmIrYKZYTGjHj071QN20LucGBJIEps.x_UzsygSijFYC1BXFUs4Hw0YwNj7nYNgDB0wTLlsSAI&dib_tag=se&keywords=fungicides+of+chlorothalonil&qid=1776179557&sprefix=fungicides+or+chlorothalonil%2Caps%2C219&sr=8-3;https://www.amazon.com/Gulfstream-Gardentech-Daconil-Fungicide-Concentrate/dp/B007RG8L24/ref=sr_1_3?crid=2P1A4OAF1YIIW&dib=eyJ2IjoiMSJ9.Iji5cCMZuuV4RjmlwygVfMhYH-oVMOGRAiPmIrYKZYTGjHj071QN20LucGBJIEps.x_UzsygSijFYC1BXFUs4Hw0YwNj7nYNgDB0wTLlsSAI&dib_tag=se&keywords=fungicides+of+chlorothalonil&qid=1776179557&sprefix=fungicides+or+chlorothalonil%2Caps%2C219&sr=8-4;;;
Apply fungicides containing Mancozeb.;https://www.amazon.com/Daconil-Fungicide-Concentrate-16-oz/dp/B000RUGIY0/ref=sr_1_1?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides%2Bcontaining%2BMancozeb.&qid=1776179643&sprefix=fungicides%2Bcontaining%2Bmancozeb.%2Caps%2C230&sr=8-1&th=1;https://www.amazon.com/Gulfstream-Gardentech-Daconil-Fungicide-Concentrate/dp/B007RG8L24/ref=sr_1_2?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides+containing+Mancozeb.&qid=1776179643&sprefix=fungicides+containing+mancozeb.%2Caps%2C230&sr=8-2;https://www.amazon.com/SCIENCE-701270-Fungus-Control-32-Ounce/dp/B0035KNZJU/ref=sr_1_3?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides%2Bcontaining%2BMancozeb.&qid=1776179643&sprefix=fungicides%2Bcontaining%2Bmancozeb.%2Caps%2C230&sr=8-3&th=1;;
Apply commercial agricultural fungicides (e.g., containing Propiconazole).;https://www.amazon.com/Propiconazole-14-3-Generic-Banner-Gallon/dp/B0073MVP02/ref=sr_1_1?crid=3ITDQ9113937B&dib=eyJ2IjoiMSJ9.202Ab_8zZJDsGz667OUA8UbZnirpP9TMDp5dwGsRihUeTB4GVgkSQqM38iltRGheZxrHUGT70Q7pQpYOq9IVPE9rWdX-mkV9D75f7wfb219AiDHSDjbCb7vZ8OPsaguA5_ntkGwLkrWiUwitPBpaKMWy22TMG7pxncFgFTsvuH-taUsrVW8k9m0zTcRuKwsR.lkh-DEod-okQtzMonXaosa4kcs7Acst9PDtcHQuE_q4&dib_tag=se&keywords=commercial+agricultural+fungicides+%28e.g.%2C+containing+Propiconazole%29.&qid=1776180561&sprefix=commercial+agricultural+fungicides+e.g.%2C+containing+propiconazole+.%2Caps%2C279&sr=8-1;;;;
None effective once the vine is infected.;;;;;
Apply fungicides containing Mancozeb.;https://www.amazon.com/Daconil-Fungicide-Concentrate-16-oz/dp/B000RUGIY0/ref=sr_1_1?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides%2Bcontaining%2BMancozeb.&qid=1776179643&sprefix=fungicides%2Bcontaining%2Bmancozeb.%2Caps%2C230&sr=8-1&th=1;https://www.amazon.com/Gulfstream-Gardentech-Daconil-Fungicide-Concentrate/dp/B007RG8L24/ref=sr_1_2?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides+containing+Mancozeb.&qid=1776179643&sprefix=fungicides+containing+mancozeb.%2Caps%2C230&sr=8-2;https://www.amazon.com/SCIENCE-701270-Fungus-Control-32-Ounce/dp/B0035KNZJU/ref=sr_1_3?crid=12SRBH2RLPE91&dib=eyJ2IjoiMSJ9.gjDCcOrDh52jN91YcrVfrzi_j8PDZ7VDg_UBioQC8XeQ-mG6mTWrZDd2173sgw6D.V7IYN7RmFxtarVneot5-cWfcqY3bZXx0CPHBKHQ7MwM&dib_tag=se&keywords=fungicides%2Bcontaining%2BMancozeb.&qid=1776179643&sprefix=fungicides%2Bcontaining%2Bmancozeb.%2Caps%2C230&sr=8-3&th=1;;
Insecticides can be used to control the Asian citrus psyllid (the bug that spreads it).;https://www.amazon.com/Daisy-32133-NonIonic-Surfactant-16oz/dp/B0F4LHFWPR/ref=sr_1_1_sspa?crid=1GV6F7QY8FGWA&dib=eyJ2IjoiMSJ9.Q558HLQ2GUqMYYHPEz_-IjFVHgAFyWtACBMr7MKZe89X2sHKMjTvbToRbWYEOnMRdn9KOgYFQ-HizaR4u_p1LpJpj5aE5ttEzEKRSTqOl08NZOtlvQuFT0L8aWaKX_5e4rtjHHNTCIldDDjlYOUpweMasjLQsHLFvQ4fGiR0DV4eEe0fK6jcQrQQ4qMVlRs1TIMcLJUJkyp29TSm89KGzQxHHEZ9DcBQCRAVN2j-11_Fkwk6__Dxh8PN0BPSThcyHJsxD_1XF_MZFmuOn5XB_fdkcBNYsU7oQdFCnF8-VaA.yo-f6Eedo2Q8sINVGMTVnPOeyZua8JNlW50nNgTB3R0&dib_tag=se&keywords=insecticides&qid=1776180615&sprefix=insecticides%2Caps%2C260&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1;https://www.amazon.com/Ortho-Insect-Disease-Trigger-Controller/dp/B014M9OPYQ/ref=sr_1_2?crid=1GV6F7QY8FGWA&dib=eyJ2IjoiMSJ9.Q558HLQ2GUqMYYHPEz_-IjFVHgAFyWtACBMr7MKZe89X2sHKMjTvbToRbWYEOnMRdn9KOgYFQ-HizaR4u_p1LpJpj5aE5ttEzEKRSTqOl08NZOtlvQuFT0L8aWaKX_5e4rtjHHNTCIldDDjlYOUpweMasjLQsHLFvQ4fGiR0DV4eEe0fK6jcQrQQ4qMVlRs1TIMcLJUJkyp29TSm89KGzQxHHEZ9DcBQCRAVN2j-11_Fkwk6__Dxh8PN0BPSThcyHJsxD_1XF_MZFmuOn5XB_fdkcBNYsU7oQdFCnF8-VaA.yo-f6Eedo2Q8sINVGMTVnPOeyZua8JNlW50nNgTB3R0&dib_tag=se&keywords=insecticides&qid=1776180615&sprefix=insecticides%2Caps%2C260&sr=8-2&th=1;https://www.amazon.com/Pestie-Fast-Acting-Long-Lasting-Professional-Protects/dp/B0CKS5ZWSL/ref=sr_1_3?crid=1GV6F7QY8FGWA&dib=eyJ2IjoiMSJ9.Q558HLQ2GUqMYYHPEz_-IjFVHgAFyWtACBMr7MKZe89X2sHKMjTvbToRbWYEOnMRdn9KOgYFQ-HizaR4u_p1LpJpj5aE5ttEzEKRSTqOl08NZOtlvQuFT0L8aWaKX_5e4rtjHHNTCIldDDjlYOUpweMasjLQsHLFvQ4fGiR0DV4eEe0fK6jcQrQQ4qMVlRs1TIMcLJUJkyp29TSm89KGzQxHHEZ9DcBQCRAVN2j-11_Fkwk6__Dxh8PN0BPSThcyHJsxD_1XF_MZFmuOn5XB_fdkcBNYsU7oQdFCnF8-VaA.yo-f6Eedo2Q8sINVGMTVnPOeyZua8JNlW50nNgTB3R0&dib_tag=se&keywords=insecticides&qid=1776180615&sprefix=insecticides%2Caps%2C260&sr=8-3;amazon.com/TERRO-Drain-Insect-Killer-Cockroaches/dp/B0GR61WYVW/ref=sr_1_4?crid=1GV6F7QY8FGWA&dib=eyJ2IjoiMSJ9.Q558HLQ2GUqMYYHPEz_-IjFVHgAFyWtACBMr7MKZe89X2sHKMjTvbToRbWYEOnMRdn9KOgYFQ-HizaR4u_p1LpJpj5aE5ttEzEKRSTqOl08NZOtlvQuFT0L8aWaKX_5e4rtjHHNTCIldDDjlYOUpweMasjLQsHLFvQ4fGiR0DV4eEe0fK6jcQrQQ4qMVlRs1TIMcLJUJkyp29TSm89KGzQxHHEZ9DcBQCRAVN2j-11_Fkwk6__Dxh8PN0BPSThcyHJsxD_1XF_MZFmuOn5XB_fdkcBNYsU7oQdFCnF8-VaA.yo-f6Eedo2Q8sINVGMTVnPOeyZua8JNlW50nNgTB3R0&dib_tag=se&keywords=insecticides&qid=1776180615&sprefix=insecticides%2Caps%2C260&sr=8-4;
